date,Songs,First Line of Song,Music leader,CCLI# or Ref,Reported,,,,,,,,,,,,,,,,,,,,,
1/8/21,All Creatures of our God and King,All creatures of our God and King,Mary,,,,,,,,,,,,,,,,,,,,,,,
1/8/21,From The Top of My Head,From the top of my head,Mary,,,,,,,,,,,,,,,,,,,,,,,
1/8/21,Our God is Greater,"Water You turned into wine,",Mary,,,,,,,,,,,,,,,,,,,,,,,
1/8/21,The Lion and the Lamb,He's coming on the clouds,Mary,,,,,,,,,,,,,,,,,,,,,,,
1/8/21,"Indescribable, Uncontainable",From the highest of heights to the depths of the sea,Mary,,,,,,,,,,,,,,,,,,,,,,,
8/8/21,In Christ Alone,In Christ alone my hope is found,Sue,,,,,,,,,,,,,,,,,,,,,,,
8/8/21,Our God is a Great Big God,Our God is a great big God,Sue,,,,,,,,,,,,,,,,,,,,,,,
8/8/21,Behold Our God,Who has held the oceans in His hands?,Sue,,,,,,,,,,,,,,,,,,,,,,,
8/8/21,And Can It Be,And can it be that I should gain?,Sue,,,,,,,,,,,,,,,,,,,,,,,
15/08/21,My Lighthouse,In my wrestling and in my doubts,Mary,,,,,,,,,,,,,,,,,,,,,,,
15/08/21,I Raise a Hallelujah,I raise a hallelujah in the presence of my enemies,Mary,,,,,,,,,,,,,,,,,,,,,,,
15/08/21,Hope of the Nations,"Jesus, hope of the nations;",Mary,,,,,,,,,,,,,,,,,,,,,,,
15/08/21,I Stand Amazed in the Presence,Who breaks the power of sin and darkness?,Mary,,,,,,,,,,,,,,,,,,,,,,,
15/08/21,This is Amazing Grace,,Mary,,,,,,,,,,,,,,,,,,,,,,,
22/08/21,Shine Jesus Shine,Shine Jesus Shine,Sue,,,,,,,,,,,,,,,,,,,,,,,
22/08/21,Shine,Shine! From the inside out.,Sue,,,,,,,,,,,,,,,,,,,,,,,
22/08/21,"Lord, I Come to You",Lord. I come to You,Sue,,,,,,,,,,,,,,,,,,,,,,,
22/08/21,"Lord, For The Years","Lord, for the years your love has kept and guided",Sue,,,,,,,,,,,,,,,,,,,,,,,
29/08/21,Praise My Soul,Praise my soul the King of heaven,Sue,,,,,,,,,,,,,,,,,,,,,,,
29/08/21,I Am a New Creation,I am a new creation,Sue,,,,,,,,,,,,,,,,,,,,,,,
29/08/21,Our God Reigns,How lovely on the mountains,Sue,,,,,,,,,,,,,,,,,,,,,,,
29/08/21,Love Divine,Love divine all loves excelling,Sue,,,,,,,,,,,,,,,,,,,,,,,
5/9/21,Behold Our God,Who has held the oceans in His hands?,Mary,,,,,,,,,,,,,,,,,,,,,,,
5/9/21,Turn Your Eyes Upon Jesus,Turn your eyes upon Jesus,Mary,,,,,,,,,,,,,,,,,,,,,,,
5/9/21,To The River,To the river I am going,Mary,,,,,,,,,,,,,,,,,,,,,,,
5/9/21,Is He Worthy?,Do you feel the world is broken?,Mary,,,,,,,,,,,,,,,,,,,,,,,
